council_district,highest_offense_desc,highest_offense,date,location,district,zip,x_coord,y_coord
8,BURGLARY OF VEHICLE,Theft,17-Jan-18,4424 GAINES RANCH LOOP,D,78735,3091113,10060982
6,BURGLARY OF RESIDENCE,Burglary,12-Jan-18,13401 LEGENDARY DR,A,78727,3115528,10132788
10,BURGLARY OF VEHICLE,Theft,15-Jan-18,3018 N LAMAR BLVD,B,78705,3112908,10082379
9,BURGLARY OF VEHICLE,Theft,8-Jan-18,4216 VAUGHAN ST,B,78723,3128293,10080595
7,AGG ASSAULT,Agg Assault,9-Jan-18,12301 SHADYVIEW DR,E,78758,3130069,10122481
1,AUTO THEFT,Auto Theft,10-Jan-18,4808 E MARTIN LUTHER KING JR BLVD,C,78723,3134284,10077934
7,THEFT BY SHOPLIFTING,Theft,27-Jan-18,2525 W ANDERSON LN,B,78757,3116494,10102601
4,AGG ASLT ENHANC STRANGL/SUFFOC,Agg Assault,29-Jan-18,9133 NORTHGATE BLVD,E,78758,3121931,10108440
5,BURGLARY OF VEHICLE,Theft,18-Jan-18,8205 FORT SUMTER RD,F,78745,3089155,10043438
3,BURGLARY OF VEHICLE,Theft,25-Jan-18,2508 E RIVERSIDE DR,H,78741,3120958,10059176
7,THEFT,Theft,26-Jan-18,1827 MONTANA SKY DR,A,78727,3131871,10129069
9,THEFT,Theft,9-Jan-18,2900 WEST AVE,B,78705,3113285,10081167
7,BURGLARY OF VEHICLE,Theft,14-Jan-18,3111 PALM WAY,A,78758,3120202,10119794
3,BURGLARY OF VEHICLE,Theft,29-Jan-18,4722 S CONGRESS AVE,D,78745,3106401,10051184
2,THEFT OF LICENSE PLATE,Theft,12-Jan-18,420 W SLAUGHTER LN,F,78748,3097944,10035482
7,BURGLARY OF VEHICLE,Theft,21-Jan-18,11811 DOMAIN DR,A,78758,3119500,10120433
6,BURGLARY OF RESIDENCE,Burglary,24-Jan-18,12300 HYMEADOW DR,A,78750,3095390,10137970
6,THEFT,Theft,13-Jan-18,11200 LAKELINE MALL DR,A,78613,3092523,10143915
7,AUTO THEFT,Auto Theft,18-Jan-18,8400 RESEARCH BLVD SVRD SB,I,78757,3121895,10103713
8,BURGLARY OF RESIDENCE,Burglary,13-Jan-18,3721 KANDY DR,D,78749,3085270,10049164
7,THEFT OF BICYCLE,Theft,2-Feb-18,1200 E PARMER LN,E,78753,3141599,10117562
3,THEFT,Theft,15-Jan-18,4622 PROCK LN,C,78721,3130556,10072029
7,THEFT,Theft,17-Jan-18,12001 N MOPAC EXPY NB,A,78758,3122256,10122114
9,BURGLARY OF VEHICLE,Theft,27-Jan-18,3303 N LAMAR BLVD,B,78705,3113390,10082979
5,BURGLARY OF RESIDENCE,Burglary,18-Jan-18,4806 PAWNEE PATHWAY,D,78745,3098456,10053980
4,THEFT,Theft,4-Feb-18,1807 MEARNS MEADOW BLVD,E,78758,3123870,10112282
9,DEADLY CONDUCT,Agg Assault,3-Feb-18,900 W OLTORF ST,D,78704,3108063,10061700
5,BURG NON RESIDENCE SHEDS,Burglary,16-Jan-18,1414 S LAMAR BLVD,D,78704,3107799,10065094
3,BURGLARY OF VEHICLE,Theft,27-Jan-18,4501 E RIVERSIDE DR,H,78741,3121153,10058007
8,THEFT BY SHOPLIFTING,Theft,14-Jan-18,6900 BRODIE LN,D,78749,3087289,10051111
9,BURGLARY NON RESIDENCE,Burglary,12-Jan-18,4209 AIRPORT BLVD,B,78723,3125135,10081453
5,THEFT BY SHOPLIFTING,Theft,22-Jan-18,2110 W SLAUGHTER LN,F,78748,3088927,10036469
6,THEFT,Theft,28-Jan-18,5301 DUVAL RD,A,78759,3112883,10125204
