,highest_offense,date,zip,x_coord,y_coord
109,Theft,28-Sep-18,78746.0,30.036060000000003,-97.94441
110,Theft,13-Oct-18,78746.0,30.16393,-97.7046
112,Theft,2-Nov-18,78756.0,30.27586,-97.89415
114,Theft,29-Jun-18,78704.0,30.204,-97.53186
115,Theft,31-Aug-18,78741.0,30.29711,-97.60781
116,Burglary,27-Jun-18,78721.0,30.377170000000003,-97.74209
117,Robbery,26-Oct-18,78702.0,30.2722,-97.66715
118,Theft,30-Jul-18,78704.0,30.182190000000002,-97.65305
119,Theft,21-Jun-18,78705.0,30.25778,-97.82369
120,Theft,10-Sep-18,78701.0,30.26154,-97.71403
121,Burglary,12-Nov-18,78721.0,30.424020000000002,-97.735
124,Theft,15-Aug-18,78721.0,30.42442,-97.7483
125,Theft,26-Sep-18,78701.0,30.2562,-97.67601
126,Auto Theft,14-Sep-18,78702.0,30.31218,-97.671
128,Theft,4-Nov-18,78741.0,30.29729,-97.53927
133,Agg Assault,2-Nov-18,78741.0,30.28304,-97.57063
134,Theft,21-Sep-18,78704.0,30.20268,-97.52995
137,Agg Assault,12-Dec-18,78723.0,30.44407,-97.85593
138,Auto Theft,3-Aug-18,78741.0,30.31645,-97.5671
140,Agg Assault,27-Jul-18,78741.0,30.287360000000003,-97.5862
142,Theft,16-Oct-18,78723.0,30.34601,-97.84923
143,Theft,15-Oct-18,78746.0,30.15512,-97.71083
145,Theft,24-Aug-18,78704.0,30.19883,-97.61111
148,Theft,6-Nov-18,78704.0,30.156360000000003,-97.63425
152,Burglary,12-Sep-18,78705.0,30.280140000000003,-97.78882
153,Theft,25-Oct-18,78741.0,30.25798,-97.5486
154,Auto Theft,23-Oct-18,78705.0,30.219800000000003,-97.77485
155,Theft,10-Sep-18,78704.0,30.18562,-97.68446
160,Theft,5-Dec-18,78723.0,30.35707,-97.8893
164,Burglary,1-Sep-18,78752.0,30.337,-97.97214
165,Theft,5-Aug-18,78752.0,30.452440000000003,-97.92463
168,Rape,17-Jul-18,78721.0,-0.9,3.0
171,Burglary,16-Dec-18,78704.0,30.20261,-97.62192
173,Theft,3-Oct-18,78703.0,30.1983,-97.70976
174,Theft,14-Oct-18,78741.0,30.33924,-97.59981
176,Theft,6-Nov-18,78721.0,30.47077,-97.72037
178,Agg Assault,4-Aug-18,78701.0,30.246450000000003,-97.69302
183,Theft,1-Dec-18,78741.0,30.30958,-97.59176
184,Theft,4-Sep-18,78741.0,30.266260000000003,-97.57547
186,Burglary,30-Jun-18,78705.0,30.23929,-97.81188
187,Theft,12-Jul-18,78701.0,30.2638,-97.7026
188,Theft,21-Nov-18,78746.0,30.16393,-97.7046
191,Theft,9-Nov-18,78701.0,30.23729,-97.69275
194,Robbery,16-Dec-18,78741.0,30.29061,-97.60239
195,Theft,16-Dec-18,78741.0,30.32188,-97.58144
198,Theft,30-Oct-18,78723.0,30.35506,-97.8973
201,Theft,28-Nov-18,78723.0,30.419310000000003,-97.81856
202,Theft,29-Jun-18,78704.0,30.19478,-97.6017
204,Theft,20-Jul-18,78741.0,30.31531,-97.55852
206,Auto Theft,26-Dec-18,78741.0,30.26802,-97.59466
210,Theft,3-Nov-18,78704.0,30.18691,-97.62362
213,Theft,28-Nov-18,78723.0,30.34601,-97.84923
214,Theft,16-Nov-18,78723.0,30.418590000000002,-97.80232
216,Auto Theft,20-Aug-18,78723.0,30.447480000000002,-97.86287
218,Theft,4-Dec-18,78704.0,30.181880000000003,-97.66117
219,Theft,31-Aug-18,78752.0,30.35968,-97.96642
222,Theft,20-Dec-18,78704.0,30.167070000000002,-97.57713
223,Theft,14-Dec-18,78705.0,30.24379,-97.7733
224,Burglary,17-Dec-18,78756.0,30.248050000000003,-97.93129
226,Theft,19-Nov-18,78701.0,30.23131,-97.76058
227,Theft,7-Sep-18,78741.0,30.33924,-97.59981
228,Rape,4-Jul-18,78701.0,-0.9,3.0
229,Robbery,17-Dec-18,78741.0,30.27862,-97.57044
231,Theft,19-Sep-18,78741.0,30.30847,-97.61654
233,Theft,30-Sep-18,78704.0,30.178980000000003,-97.62274
235,Auto Theft,8-Nov-18,78741.0,30.32306,-97.58898
236,Theft,10-Nov-18,78702.0,30.2723,-97.68661
240,Burglary,4-Aug-18,78723.0,30.44262,-97.8393
241,Auto Theft,11-Jul-18,78723.0,30.36309,-97.89393
244,Robbery,16-Dec-18,78701.0,30.255550000000003,-97.70935
248,Burglary,27-Aug-18,78702.0,30.364790000000003,-97.65789
249,Theft,16-Dec-18,78723.0,30.365080000000003,-97.87176
251,Rape,28-Oct-18,78702.0,-0.9,3.0
253,Theft,26-Nov-18,78701.0,30.24499,-97.73991
258,Theft,26-Dec-18,78752.0,30.347080000000002,-97.90933
259,Theft,21-Dec-18,78704.0,30.210610000000003,-97.53193
264,Theft,8-Nov-18,78723.0,30.350620000000003,-97.88495
274,Theft,23-Aug-18,78702.0,30.34305,-97.67892
278,Theft,27-Dec-18,78723.0,30.4681,-97.883
279,Theft,27-Jul-18,78702.0,30.37407,-97.73005
281,Theft,1-Aug-18,78701.0,30.218970000000002,-97.71532
283,Burglary,25-Nov-18,78723.0,30.35013,-97.82433
286,Burglary,5-Jul-18,78702.0,30.37383,-97.72745
291,Theft,2-Sep-18,78723.0,30.379520000000003,-97.8334
297,Theft,19-Nov-18,78701.0,30.239510000000003,-97.70539
298,Theft,13-Jul-18,78741.0,30.31645,-97.5671
299,Burglary,26-Sep-18,78704.0,30.19715,-97.68076
301,Theft,23-Nov-18,78704.0,30.14654,-97.56527
304,Theft,1-Oct-18,78704.0,30.158710000000003,-97.56888
305,Theft,27-Aug-18,78703.0,30.110110000000002,-97.80328
306,Agg Assault,28-Jul-18,78741.0,30.284010000000002,-97.57171
308,Theft,30-Jul-18,78741.0,30.372580000000003,-97.55404
313,Agg Assault,11-Aug-18,78741.0,30.283250000000002,-97.5632
315,Burglary,5-Aug-18,78702.0,30.277990000000003,-97.69959
316,Theft,1-Aug-18,78746.0,30.16393,-97.7046
321,Theft,31-Aug-18,78704.0,30.21177,-97.60019
322,Theft,27-Jul-18,78705.0,30.24284,-97.76857
324,Agg Assault,22-Sep-18,78752.0,30.42901,-97.93814
328,Theft,8-Sep-18,78746.0,30.03433,-97.61615
330,Robbery,1-Oct-18,78721.0,30.46581,-97.75175
336,Theft,28-Aug-18,78741.0,30.28667,-97.60221
339,Theft,23-Oct-18,78702.0,30.34305,-97.67892
341,Theft,6-Jul-18,78702.0,30.317300000000003,-97.68561
343,Agg Assault,28-Oct-18,78741.0,30.29231,-97.57258
346,Theft,2-Jul-18,78701.0,30.23487,-97.70189
347,Theft,16-Oct-18,78741.0,30.283250000000002,-97.5632
348,Theft,8-Oct-18,78721.0,30.43747,-97.77675
349,Theft,14-Jul-18,78741.0,30.317410000000002,-97.58946
351,Burglary,25-Aug-18,78723.0,30.44407,-97.85593
353,Theft,19-Sep-18,78701.0,30.22652,-97.71553
356,Agg Assault,15-Oct-18,78702.0,30.358330000000002,-97.71899
359,Robbery,1-Sep-18,78741.0,30.28601,-97.55152
360,Theft,27-Oct-18,78702.0,30.27497,-97.68394
362,Theft,5-Oct-18,78752.0,30.39252,-97.90848
364,Auto Theft,25-Jul-18,78756.0,30.271900000000002,-97.91402
365,Agg Assault,12-Jul-18,78702.0,30.37388,-97.68028
369,Theft,12-Oct-18,78746.0,30.16393,-97.7046
