,highest_offense,date,zip,x_coord,y_coord
162,Theft,2-Jan-15,78723.0,30.407320000000002,-97.9014
165,Theft,2-Jan-15,78705.0,30.235100000000003,-97.80885
166,Theft,2-Jan-15,78705.0,30.24172,-97.77478
167,Theft,2-Jan-15,78723.0,30.432550000000003,-97.80711
169,Theft,2-Jan-15,78705.0,30.233060000000002,-97.81603
172,Theft,2-Jan-15,78741.0,30.24576,-97.56442
175,Theft,2-Jan-15,78741.0,30.30959,-97.59177
176,Theft,2-Jan-15,78752.0,30.349800000000002,-97.93012
179,Theft,2-Jan-15,78741.0,30.279320000000002,-97.58208
180,Theft,2-Jan-15,78741.0,30.2849,-97.59905
182,Theft,2-Jan-15,78741.0,30.28036,-97.57924
185,Theft,2-Jan-15,78721.0,30.411,-97.69733
188,Theft,2-Jan-15,78741.0,30.33925,-97.59981
189,Theft,2-Jan-15,78702.0,30.34722,-97.72659
190,Theft,2-Jan-15,78723.0,30.471400000000003,-97.85508
196,Theft,2-Jan-15,78756.0,30.240000000000002,-97.91742
197,Theft,2-Jan-15,78741.0,30.292930000000002,-97.56363
198,Theft,2-Jan-15,78741.0,30.3622,-97.56688
200,Burglary,3-Jan-15,78741.0,30.37397,-97.51676
202,Burglary,3-Jan-15,78741.0,30.39064,-97.53103
207,Burglary,3-Jan-15,78704.0,30.19537,-97.59138
208,Burglary,3-Jan-15,78741.0,30.32189,-97.58144
212,Burglary,3-Jan-15,78702.0,30.32451,-97.74903
215,Auto Theft,3-Jan-15,78752.0,30.37086,-97.958
216,Auto Theft,3-Jan-15,78752.0,30.39467,-97.92188
224,Agg Assault,3-Jan-15,78704.0,30.23907,-97.59041
225,Agg Assault,3-Jan-15,78741.0,30.29407,-97.56791
231,Agg Assault,3-Jan-15,78723.0,30.497870000000002,-97.84105
232,Theft,3-Jan-15,78723.0,30.4235,-97.83017
234,Theft,3-Jan-15,78746.0,30.04135,-97.66586
235,Theft,3-Jan-15,78704.0,30.227800000000002,-97.5409
239,Theft,3-Jan-15,78723.0,30.396610000000003,-97.87231
244,Theft,3-Jan-15,78704.0,30.220760000000002,-97.66729
